TimelineID,Time,WeaponID,WeaponName,WeaponSide,ParentFiringUnitID,ParentFiringUnitName,TargetID,TargetName,TargetSide,TargetLongitude,TargetLatitude,TargetAltitude_ASL_m,TargetAltitude_AGL_m,DistanceFromFiringUnit_Horiz,Result,EndgameMessage
"The unique ID of the simulation run under which the event occured","The scenario time at which the event occured","WeaponID","WeaponName","WeaponSide","The unique ID of the unit that fired the weapon","The actual name of the unit that fired the weapon","The unique ID of the target unit at which the weapon is attacking","The actual name of the target unit which the weapon is attacking","The name of the side to which the attacked unit belongs","The longitude of the target unit","The latitude of the target unit","The barometric (above mean surface level) altitude of the attacked unit, in meters","The actual above-ground altitude, in meters, of the attacked unit","The horizontal range from the weapon's firing unit to the endgame location, in nautical miles","The result of the endgame sequence: Direct hit, miss or defeated by point defences","The generated logged message that describes the endgame sequence"
42,04:54:53.17,297,sr_sam_telar-30_sam_2,red,178,sr_sam_telar-30,Unknown,sea_shooter_wpn1_5,Unknown,0,90,-6.35675e+06,-6.35675e+06,3173.75,POINTDEF:FAILURE,Coast time exceeded
42,04:54:53.24,296,sr_sam_telar-30_sam_1,red,178,sr_sam_telar-30,Unknown,sea_shooter_wpn1_5,Unknown,0,90,-6.35675e+06,-6.35675e+06,3173.75,POINTDEF:FAILURE,Coast time exceeded
42,04:54:53.31,295,sr_sam_telar-31_sam_2,red,179,sr_sam_telar-31,Unknown,sea_shooter_wpn1_5,Unknown,0,90,-6.35675e+06,-6.35675e+06,3184.33,POINTDEF:FAILURE,Coast time exceeded
42,05:05:45.06,299,sr_sam_telar-6_sam_7,red,154,sr_sam_telar-6,268,sea_shooter_wpn3_7,blue,-123.113,47.1054,152.418,152.418,8.22189,POINTDEF:FAILURE,Target proximity
42,05:05:48.45,300,sr_sam_telar-6_sam_8,red,154,sr_sam_telar-6,268,sea_shooter_wpn3_7,blue,-123.107,47.1131,152.417,152.417,7.96145,POINTDEF:FAILURE,Minimum speed encountered
42,05:06:21.32,301,sr_sam_telar-5_sam_3,red,153,sr_sam_telar-5,268,sea_shooter_wpn3_7,blue,-123.054,47.1827,152.399,152.399,7.85974,HIT,Target proximity
42,05:06:23.49,302,sr_sam_telar-5_sam_4,red,153,sr_sam_telar-5,Unknown,sea_shooter_wpn3_7,Unknown,0,90,-6.35675e+06,-6.35675e+06,2564.47,POINTDEF:FAILURE,Minimum speed encountered
42,05:07:08.14,305,sr_sam_telar-14_sam_7,red,162,sr_sam_telar-14,269,sea_shooter_wpn1_4,blue,-122.002,45.113,152.384,152.384,7.62355,HIT,Target proximity
42,05:07:11.23,306,sr_sam_telar-14_sam_8,red,162,sr_sam_telar-14,Unknown,sea_shooter_wpn1_4,Unknown,0,90,-6.35675e+06,-6.35675e+06,2686.73,POINTDEF:FAILURE,AGL limit encountered
42,05:07:11.98,303,sr_sam_telar-13_sam_7,red,161,sr_sam_telar-13,Unknown,sea_shooter_wpn1_4,Unknown,0,90,-6.35675e+06,-6.35675e+06,2685.09,POINTDEF:FAILURE,Minimum speed encountered
42,05:07:13.78,304,sr_sam_telar-13_sam_8,red,161,sr_sam_telar-13,Unknown,sea_shooter_wpn1_4,Unknown,0,90,-6.35675e+06,-6.35675e+06,2685.09,POINTDEF:FAILURE,Minimum speed encountered
42,05:08:49.15,307,elr_sam_launcher_2-1_sam_1,red,24,elr_sam_launcher_2-1,273,sea_shooter_wpn3_8,blue,-121.068,40.3629,152.391,152.391,23.6871,HIT,Target proximity
42,05:08:53.01,308,elr_sam_launcher_2-1_sam_2,red,24,elr_sam_launcher_2-1,Unknown,sea_shooter_wpn3_8,Unknown,0,90,-6.35675e+06,-6.35675e+06,2963.63,POINTDEF:FAILURE,AGL limit encountered
42,05:48:33.00,282,sea_shooter_n_wpn5_2,blue,192,sea_shooter,191,rand_sm,red,-118.491,34.0097,3.048,3.048,589.217,POINTDEF:FAILURE,AGL limit encountered
42,05:58:33.00,283,sea_shooter_wpn1_6,blue,192,sea_shooter,191,rand_sm,red,-118.491,34.0097,3.048,3.048,589.217,POINTDEF:FAILURE,AGL limit encountered
